iter	Passed	Remaining
482	614	657
483	615	656
484	616	654
485	617	653
486	618	651
487	619	650
488	621	649
489	625	651
490	627	650
491	629	649
492	630	648
493	632	647
494	633	646
495	635	645
496	636	644
497	638	643
498	640	643
499	642	642
500	643	641
501	645	640
502	646	639
503	648	637
504	649	636
505	651	635
506	656	638
507	658	637
508	659	636
509	661	635
510	662	634
511	664	633
512	665	631
513	667	631
514	670	631
515	671	630
516	673	629
517	674	627
518	676	626
519	677	625
520	679	624
521	680	623
522	684	624
523	686	623
524	687	622
525	689	621
526	690	620
527	692	618
528	693	617
529	695	616
530	697	615
531	699	614
532	700	613
533	702	612
534	703	611
535	705	610
536	706	609
537	708	608
538	709	606
539	710	605
540	715	607
541	717	606
542	718	605
543	720	603
544	722	602
545	723	601
546	725	600
547	726	599
548	729	598
549	730	598
550	732	597
551	734	595
552	736	594
553	737	593
554	739	592
555	740	591
556	744	591
557	747	592
558	748	590
559	750	589
560	752	588
561	753	587
562	755	586
563	757	585
564	759	584
565	761	583
566	762	582
567	764	581
568	766	580
569	767	579
570	769	577
571	770	576
572	773	576
573	775	575
574	777	574
575	778	573
576	780	572
577	781	570
578	783	569
579	784	568
580	786	567
581	788	566
582	790	565
583	791	563
584	793	562
585	794	561
586	796	560
587	797	558
588	799	557
589	800	556
590	804	556
591	806	555
592	807	554
593	809	553
594	810	551
595	812	550
596	813	549
597	815	548
598	817	547
599	819	546
600	821	545
601	823	544
602	824	543
603	826	541
604	828	540
605	829	539
606	831	538
607	833	537
608	835	536
609	837	535
610	838	533
611	840	532
612	841	531
613	843	530
614	845	529
615	848	528
616	850	527
617	851	526
618	853	525
619	854	523
620	856	522
621	858	521
622	859	520
623	863	520
624	865	519
625	867	518
626	870	517
627	872	516
628	874	515
629	876	514
630	878	513
631	880	512
632	882	511
633	884	510
634	885	509
635	887	508
636	889	506
637	894	507
638	896	506
639	898	505
640	900	504
641	901	502
642	903	501
643	905	500
644	909	500
645	911	499
646	913	498
647	915	497
648	916	495
649	918	494
650	919	493
651	923	492
652	926	492
653	928	491
654	930	490
655	931	488
656	933	487
657	935	486
658	938	485
659	941	485
660	943	483
661	944	482
662	946	481
663	948	479
664	950	478
665	953	478
666	956	477
667	958	476
668	959	474
669	961	473
670	963	472
671	965	471
672	968	470
673	970	469
674	972	468
675	973	466
676	975	465
677	977	464
678	979	463
679	986	464
680	988	463
681	990	461
682	992	460
683	993	459
684	995	457
685	999	457
686	1001	456
687	1003	454
688	1004	453
689	1006	452
690	1008	450
691	1009	449
692	1011	448
693	1013	447
694	1016	445
695	1017	444
696	1019	443
697	1021	441
698	1022	440
699	1024	438
700	1026	437
701	1029	436
702	1031	435
703	1032	434
704	1034	432
705	1036	431
706	1038	430
707	1040	428
708	1042	427
709	1045	426
710	1046	425
711	1048	424
712	1050	422
713	1051	421
714	1053	419
715	1056	419
716	1058	417
717	1059	416
718	1061	414
719	1063	413
720	1064	412
721	1066	410
722	1068	409
723	1071	408
724	1074	407
725	1075	406
726	1077	404
727	1079	403
728	1080	401
729	1082	400
730	1086	399
731	1088	398
